PassiveWidthSweep,VolProportionalWidth,ILMinimizer,ReactiveRecentering,PPO
14064.334465065182,52220.30968580852,53785.3020185923,-49333.551685767234,45246.56059049108
14064.334465065182,52220.30968580852,53785.3020185923,-49333.551685767234,36607.248686342115
14064.334465065182,52220.30968580852,53785.3020185923,-49333.551685767234,36607.248686342115
14064.334465065182,52220.30968580852,53785.3020185923,-49333.551685767234,34967.552486258675
14064.334465065182,52220.30968580852,53785.3020185923,-49333.551685767234,205080.15683174023
11709.934137341592,7234.924559397611,-9862.476317982064,4211.495250482115,20420.918841118335
11709.934137341592,7234.924559397611,-9862.476317982064,4211.495250482115,20420.918841118335
11709.934137341592,7234.924559397611,-9862.476317982064,4211.495250482115,-22949.31506009471
11709.934137341592,7234.924559397611,-9862.476317982064,4211.495250482115,20420.918841118335
11709.934137341592,7234.924559397611,-9862.476317982064,4211.495250482115,20420.918841118335
22296.45111017781,24526.479506813426,24526.479506813426,-17820.869907685552,24171.656865722813
22296.45111017781,24526.479506813426,24526.479506813426,-17820.869907685552,164684.37714149972
22296.45111017781,24526.479506813426,24526.479506813426,-17820.869907685552,-31865.267334424272
22296.45111017781,24526.479506813426,24526.479506813426,-17820.869907685552,24171.656865722813
22296.45111017781,24526.479506813426,24526.479506813426,-17820.869907685552,23343.87097829319
22866.263755364238,24464.544451978487,-1641.9461057372414,-16394.193176187524,63070.10913566568
22866.263755364238,24464.544451978487,-1641.9461057372414,-16394.193176187524,63070.10913566568
22866.263755364238,24464.544451978487,-1641.9461057372414,-16394.193176187524,63070.10913566568
22866.263755364238,24464.544451978487,-1641.9461057372414,-16394.193176187524,63070.10913566568
22866.263755364238,24464.544451978487,-1641.9461057372414,-16394.193176187524,63070.10913566568
31854.47309020179,11898.164796851583,11898.164796851583,-17921.387300653627,-21235.164195703044
31854.47309020179,11898.164796851583,11898.164796851583,-17921.387300653627,25346.45298896588
31854.47309020179,11898.164796851583,11898.164796851583,-17921.387300653627,13401.666076723512
31854.47309020179,11898.164796851583,11898.164796851583,-17921.387300653627,20308.72711697029
31854.47309020179,11898.164796851583,11898.164796851583,-17921.387300653627,-26280.246072789658
38025.73263046376,32517.466274211733,32517.466274211733,-18818.49106402721,45038.01409405833
38025.73263046376,32517.466274211733,32517.466274211733,-18818.49106402721,45038.01409405833
38025.73263046376,32517.466274211733,32517.466274211733,-18818.49106402721,-28310.357320941792
38025.73263046376,32517.466274211733,32517.466274211733,-18818.49106402721,45038.01409405833
38025.73263046376,32517.466274211733,32517.466274211733,-18818.49106402721,73899.89638699926
30384.5459344151,40215.61826175322,40215.61826175322,-24876.8671767415,33006.54761752242
30384.5459344151,40215.61826175322,40215.61826175322,-24876.8671767415,48048.61844844531
30384.5459344151,40215.61826175322,40215.61826175322,-24876.8671767415,-14606.01940427457
30384.5459344151,40215.61826175322,40215.61826175322,-24876.8671767415,144689.07698608385
30384.5459344151,40215.61826175322,40215.61826175322,-24876.8671767415,-6334.365363190406
26063.069744312295,27631.945005018213,10975.217683907036,-16579.47094330452,53937.55684350685
26063.069744312295,27631.945005018213,10975.217683907036,-16579.47094330452,90258.28948727394
26063.069744312295,27631.945005018213,10975.217683907036,-16579.47094330452,-28881.312175297957
26063.069744312295,27631.945005018213,10975.217683907036,-16579.47094330452,51779.19758219104
26063.069744312295,27631.945005018213,10975.217683907036,-16579.47094330452,91676.76369975864
5645.30604988033,15760.627687558988,1623.5616189688387,839676.4844382777,51245.31038739235
5645.30604988033,15760.627687558988,1623.5616189688387,839676.4844382777,32264.422923874718
5645.30604988033,15760.627687558988,1623.5616189688387,839676.4844382777,32264.422923874718
5645.30604988033,15760.627687558988,1623.5616189688387,839676.4844382777,32264.422923874718
5645.30604988033,15760.627687558988,1623.5616189688387,839676.4844382777,32264.422923874718
8363.09566139181,4098.368871760309,4098.368871760309,-29428.278629046268,-33498.049202667265
8363.09566139181,4098.368871760309,4098.368871760309,-29428.278629046268,18071.81753948012
8363.09566139181,4098.368871760309,4098.368871760309,-29428.278629046268,72666.06532727627
8363.09566139181,4098.368871760309,4098.368871760309,-29428.278629046268,18071.81753948012
8363.09566139181,4098.368871760309,4098.368871760309,-29428.278629046268,18071.81753948012
