PassiveWidthSweep,VolProportionalWidth,ILMinimizer,ReactiveRecentering,PPO
38436.63000218488,38441.63000218488,38441.63000218488,53400.26546843497,22429.790105741155
38436.63000218488,38441.63000218488,38441.63000218488,53400.26546843497,51233.10472831097
38436.63000218488,38441.63000218488,38441.63000218488,53400.26546843497,22430.95740321744
38436.63000218488,38441.63000218488,38441.63000218488,53400.26546843497,50883.72704478385
38436.63000218488,38441.63000218488,38441.63000218488,53400.26546843497,50883.72704478385
21433.03776814022,21438.03776814022,21438.03776814022,9411.805805135888,-2291.9279318656445
21433.03776814022,21438.03776814022,21438.03776814022,9411.805805135888,12817.929817688595
21433.03776814022,21438.03776814022,21438.03776814022,9411.805805135888,23526.97111925093
21433.03776814022,21438.03776814022,21438.03776814022,9411.805805135888,-2295.5522239249644
21433.03776814022,21438.03776814022,21438.03776814022,9411.805805135888,-2291.9279318656445
19010.668316232914,19015.668316232914,19015.668316232914,6753.423355103222,8764.817294581691
19010.668316232914,19015.668316232914,19015.668316232914,6753.423355103222,22203.022084152242
19010.668316232914,19015.668316232914,19015.668316232914,6753.423355103222,12097.075676704992
19010.668316232914,19015.668316232914,19015.668316232914,6753.423355103222,22203.022084152242
19010.668316232914,19015.668316232914,19015.668316232914,6753.423355103222,12097.075676704992
20840.69309819095,21009.860767095084,21009.860767095084,16839.465161205917,17880.162059752252
20840.69309819095,21009.860767095084,21009.860767095084,16839.465161205917,7515.109866408905
20840.69309819095,21009.860767095084,21009.860767095084,16839.465161205917,17574.153142344905
20840.69309819095,21009.860767095084,21009.860767095084,16839.465161205917,9805.447795863656
20840.69309819095,21009.860767095084,21009.860767095084,16839.465161205917,7466.3157367509
30914.798434402495,30967.919463679194,30967.919463679194,60307.279581507144,30497.09194734787
30914.798434402495,30967.919463679194,30967.919463679194,60307.279581507144,48530.480811898175
30914.798434402495,30967.919463679194,30967.919463679194,60307.279581507144,23047.10710435948
30914.798434402495,30967.919463679194,30967.919463679194,60307.279581507144,23847.003011483837
30914.798434402495,30967.919463679194,30967.919463679194,60307.279581507144,60663.65926614381
